strategy,parameter,name,filename,N,size,periodic,symmetry,heuristic,attempts,contradictions,successes,contradiction_rate,avg_observations
Fixed,1200,Wrinkles,Wrinkles_N3_size120.png,3,120,True,8,MRV,100,0,100,0,4218
Fixed,1200,3Bricks,3Bricks_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,987.5
Fixed,1200,Circle,Circle_N3_size90.png,3,90,True,1,MRV,100,1,99,1,7802.9
Fixed,1200,Circle,Circle_N4_size90.png,4,90,True,1,MRV,100,0,100,0,2647.5
Fixed,1200,Disk,Disk_N3_size90.png,3,90,True,1,MRV,100,0,100,0,8801.7
Fixed,1200,Disk,Disk_N3_size90.png,3,90,True,8,MRV,100,0,100,0,4477.4
Fixed,1200,Disk,Disk_N4_size90.png,4,90,True,8,MRV,100,0,100,0,1991.3
Fixed,1200,BrownFox,BrownFox_N4_size90.png,4,90,False,1,MRV,100,0,100,0,1150.2
Fixed,1300,Chess,Chess_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,1
Fixed,1300,Skyline,Skyline_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,636.7
Fixed,1300,Flowers,Flowers_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,695.2
Fixed,1300,Hogs,Hogs_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,699.2
Fixed,1300,Hogs,Hogs_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2246
Fixed,1300,Knot,Knot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,891.3
Fixed,1300,LessRooms,LessRooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,845.4
Fixed,1300,Mountains,Mountains_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,456.4
Fixed,1300,Office,Office_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,703.4
Fixed,1300,Paths,Paths_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1116.8
Fixed,1300,Platformer,Platformer_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,567.2
Fixed,1300,Platformer,Platformer_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,476.6
Fixed,1300,RedMaze,RedMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,634.4
Fixed,1300,Rooms,Rooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,588.7
Fixed,1300,Rule126,Rule126_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,118
Fixed,1300,SimpleKnot,SimpleKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,774
Fixed,1300,SimpleMaze,SimpleMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,1238
